month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1952-03;0.000062;0.000745;0.000686;0.000666;0.000605;0.000912; 0.00087;0.001706;0.001584;0.002673
1952-04;0.001962; 0.00198;0.002746;0.001781;0.001858;0.001656;0.001892;0.002663;0.001884; 0.00255
1952-05;0.000086;0.000361;0.000424; 0.00065;0.000692; 0.00063; 0.00087;0.000724;0.001149;0.001253
1952-06; 0.00063;0.001149;0.000841;0.000718;0.000795;0.000961;0.001421;0.001076;0.000858;0.002016
1952-07;       0;0.000253;0.000094;  0.0001;0.000074;0.000177;0.000041;0.000228;0.000123;0.000104
1952-08;0.000013;0.000016;0.000056;0.000013;0.000042;0.000009;0.000012;       0;0.000006;0.000092
1952-09;0.000042;0.000276;0.000222;0.000292;0.000014;0.000488;0.000243;0.000231;0.000272;0.000416
1952-10; 0.00002;0.000196;0.000169; 0.00038;0.000213;0.000032; 0.00011;0.000066;0.000222;0.000002
1952-11;0.001369;0.002391;0.003272;0.002873;0.004436;0.003192;0.002581;0.003516;0.005084;0.003564
1952-12;0.000034;0.000196;0.001011;0.000807;  0.0001;0.000713;0.001116; 0.00042;0.000635; 0.00119
1953-01;0.003318;0.001102;0.001452;0.001156;0.001369;0.000207;0.000256;0.000182;0.000001;0.000085
1953-02;0.000745;0.001102;0.000159; 0.00021;0.000454;0.000024;0.000074;0.000049;0.000001;0.000027
1953-03;0.000213;0.000376; 0.00021; 0.00038;0.000339;0.000012;0.000053;0.000164;0.000021;0.000222
1953-04;0.000534;0.000313;0.000475;0.000286; 0.00066;0.000369;0.000718;0.000534;0.000576;0.000824
1953-05;0.000231;0.000034;0.000037; 0.00002;0.000066;0.000011;0.000062;0.000031;0.000086;0.000045
1953-06;0.001875;0.002025;0.001296;0.001204; 0.00103;0.000961;0.000645;0.000888;0.000586;0.000121
1953-07;0.000001;0.000645;0.000092;0.000262; 0.00019;0.000428;0.000231;0.000234; 0.00052;0.000853
1953-08;0.002621;0.004173;0.003648;0.002704;0.002621;0.002959;0.001832; 0.00245; 0.00131;0.001901
1953-09;0.001665;0.000296;0.000428;0.000014;0.000104;0.000144;0.000031;0.000002;0.000044;0.000041
1953-10;0.000697;0.000445;0.001082;0.001156;0.001875;0.001989;0.001689;0.002052;0.001665; 0.00254
1953-11;0.000388;0.000365;0.000445;0.000228;0.000219;0.000449;0.000853;0.000949;0.000949;  0.0009
1953-12;0.000853;0.000718;0.000576; 0.00019;0.000071;0.000151;0.000164;0.000007; 0.00001;0.000016
1954-01;0.008028;0.005476;0.005373;0.004173;0.004489;0.005127;0.003636;0.003469;0.003102;0.002343
1954-02;0.000006; 0.00002;0.000289;0.000199;0.000376;0.000392;0.000286;0.000538;0.000246;0.000292
1954-03;0.000655;0.000961;0.000734;0.000818;0.000645; 0.00087; 0.00103;0.001815;0.000999;0.001576
1954-04;0.000139;0.000055;0.000022;0.000193;0.000276;0.000502;0.000164;  0.0006;0.000713; 0.00308
1954-05;0.001102;0.002894;0.001043; 0.00244;0.002401;0.001043;0.001892;0.001714;0.001498; 0.00074
1954-06;0.000204;  0.0001;0.000104;0.000388;0.000204;0.000416;0.000123;0.000605;0.000182;0.000079
1954-07;0.014042;0.007797; 0.00632;0.004147;0.005329;0.003869;0.005027;0.003684;0.004449;0.001764
1954-08;0.000011;0.000001;0.000015;0.000013;0.000146;0.000174;0.000353;0.000269;0.000708; 0.00064
1954-09;0.001806;0.001267;0.001739;0.002144;0.001875;0.001714;0.001927;0.002581;0.002034; 0.00567
1954-10;0.000017;0.000014;0.000066;0.000154;0.000012;0.000014;0.000008;0.000024;0.000096;0.000433
1954-11;0.003552; 0.00878;0.007517;0.007726; 0.00988;0.010733;0.007517;0.010404;0.008855;0.008949
1954-12;0.016538;0.013202;0.009663;0.009801;0.008649;0.007586;0.003564;0.003376;0.004802;0.002266
1955-01;0.001513;0.001089;0.000064;0.000072; 0.00025;0.000784;0.000108;0.000004;0.000069;0.000023
1955-02;0.001731; 0.00429; 0.00244;0.001122;0.002611;0.002343; 0.00191;0.001018;0.001197;0.000713
1955-03;0.000004; 0.00003;       0;0.000044;0.000002;0.000121;0.000059;0.000104;0.000246;0.000011
1955-04; 0.00087; 0.00019;0.001089;0.000096;0.000216;0.000467;0.000511;0.000529;0.000433;0.001505
1955-05;0.000292;0.000018;0.000001;0.000002;0.000036;0.000019;0.000088;0.000222;0.000092;0.000146
1955-06;0.002256; 0.00117;0.001369; 0.00063;0.001011;0.000484;0.001399;0.002237;0.001892; 0.00674
1955-07; 0.00074;0.000079;0.000331;0.000002;       0;0.000007;0.000094;0.000001;0.000019;0.000778
1955-08;       0;0.000009;0.000037;0.000001; 0.00009;0.000135; 0.00009;0.000058;0.000052;0.000005
1955-09;0.000008; 0.00009;0.000139;0.000104;0.000014;0.000149;0.000159;0.000269; 0.00066;0.000034
1955-10;0.000484;0.000202; 0.00011;0.000172;0.000074; 0.00024;0.000286;  0.0004;0.000396;0.000778
1955-11;0.001513;0.001211;0.002391;0.003341;0.003226;0.003869;0.003709; 0.00472;0.003994;0.005883
