month  ;gross_ret;  net_ret;turnover;turnover_limited
1957-01; 0.015702; 0.015502;0.517908;        0.200000
1957-02;-0.021016;-0.021216;0.450159;        0.200000
1957-03; 0.022957; 0.022757;0.603085;        0.200000
1957-04; 0.029875; 0.029698;0.176438;        0.176438
1957-05; 0.023346; 0.023146;0.540596;        0.200000
1957-06;-0.007855;-0.008055;0.838072;        0.200000
1957-07; 0.006023; 0.005823;0.459311;        0.200000
1957-08;-0.048693;-0.048893;0.777339;        0.200000
1957-09;-0.051869;-0.052069;0.486535;        0.200000
1957-10;-0.065355;-0.065555;0.479657;        0.200000
1957-11; 0.017713; 0.017513;0.578098;        0.200000
1957-12;-0.038989;-0.039189;0.534890;        0.200000
1958-01; 0.104075; 0.103875;0.406598;        0.200000
1958-02;-0.004515;-0.004715;0.402464;        0.200000
1958-03; 0.035654; 0.035454;0.484514;        0.200000
1958-04; 0.036237; 0.036037;0.690234;        0.200000
1958-05; 0.033883; 0.033683;0.959222;        0.200000
1958-06; 0.031093; 0.030893;0.830479;        0.200000
1958-07; 0.051475; 0.051275;0.516728;        0.200000
1958-08; 0.029677; 0.029477;0.442634;        0.200000
1958-09; 0.053990; 0.053790;0.577054;        0.200000
1958-10; 0.032942; 0.032742;0.491848;        0.200000
1958-11; 0.037348; 0.037148;0.477600;        0.200000
1958-12; 0.039079; 0.038879;0.334643;        0.200000
1959-01; 0.040946; 0.040746;0.552625;        0.200000
1959-02; 0.027756; 0.027556;0.662291;        0.200000
1959-03; 0.009267; 0.009067;0.542471;        0.200000
1959-04; 0.030083; 0.029883;0.563417;        0.200000
1959-05; 0.009920; 0.009720;0.491173;        0.200000
1959-06; 0.009741; 0.009541;0.412152;        0.200000
1959-07; 0.032344; 0.032144;0.350314;        0.200000
1959-08;-0.017558;-0.017758;0.496465;        0.200000
1959-09;-0.044032;-0.044232;0.529262;        0.200000
1959-10; 0.022001; 0.021801;0.697693;        0.200000
1959-11; 0.016410; 0.016210;0.405569;        0.200000
1959-12; 0.020836; 0.020636;0.421046;        0.200000
1960-01;-0.034054;-0.034254;0.820611;        0.200000
1960-02; 0.003104; 0.002904;0.730805;        0.200000
1960-03;-0.025570;-0.025770;0.555529;        0.200000
1960-04;-0.017708;-0.017908;0.505430;        0.200000
1960-05; 0.021878; 0.021678;0.839813;        0.200000
1960-06; 0.029522; 0.029322;0.986578;        0.200000
1960-07;-0.019505;-0.019705;0.837529;        0.200000
1960-08; 0.044256; 0.044056;0.533473;        0.200000
1960-09;-0.056923;-0.057123;0.606207;        0.200000
1960-10;-0.019874;-0.020074;0.615246;        0.200000
1960-11; 0.052356; 0.052156;0.801227;        0.200000
1960-12; 0.038978; 0.038778;0.413861;        0.200000
1961-01; 0.078376; 0.078196;0.180103;        0.180103
1961-02; 0.060349; 0.060149;0.605583;        0.200000
1961-03; 0.051818; 0.051618;0.813028;        0.200000
1961-04; 0.009520; 0.009320;0.944944;        0.200000
1961-05; 0.038494; 0.038294;0.963371;        0.200000
1961-06;-0.039706;-0.039906;0.805557;        0.200000
1961-07; 0.007795; 0.007595;0.581863;        0.200000
1961-08; 0.020685; 0.020485;0.680643;        0.200000
1961-09;-0.025160;-0.025360;0.322108;        0.200000
1961-10; 0.026308; 0.026108;0.483719;        0.200000
1961-11; 0.046401; 0.046201;0.517648;        0.200000
1961-12;-0.012431;-0.012631;0.482589;        0.200000
1962-01;-0.005752;-0.005952;0.845630;        0.200000
1962-02; 0.015004; 0.014804;0.489268;        0.200000
1962-03;-0.005682;-0.005882;0.463007;        0.200000
1962-04;-0.065847;-0.066047;0.423150;        0.200000
1962-05;-0.101689;-0.101889;0.485347;        0.200000
1962-06;-0.080628;-0.080828;0.535485;        0.200000
1962-07; 0.061707; 0.061507;0.213344;        0.200000
1962-08; 0.028546; 0.028346;0.346176;        0.200000
1962-09;-0.064380;-0.064580;0.253437;        0.200000
1962-10;-0.036231;-0.036431;0.322559;        0.200000
1962-11; 0.133258; 0.133058;0.796137;        0.200000
1962-12;-0.002283;-0.002483;0.613807;        0.200000
1963-01; 0.095213; 0.095013;0.713914;        0.200000
1963-02;-0.011719;-0.011919;0.745258;        0.200000
1963-03; 0.029688; 0.029488;0.739935;        0.200000
1963-04; 0.043077; 0.042877;0.501458;        0.200000
1963-05; 0.037727; 0.037527;0.590177;        0.200000
1963-06;-0.016578;-0.016778;0.552108;        0.200000
1963-07;-0.006283;-0.006483;0.714167;        0.200000
1963-08; 0.049837; 0.049637;0.565844;        0.200000
1963-09;-0.017892;-0.018092;0.228878;        0.200000
1963-10; 0.021036; 0.020836;0.671610;        0.200000
1963-11;-0.012201;-0.012401;0.492353;        0.200000
1963-12; 0.009618; 0.009418;0.931935;        0.200000
1964-01; 0.027945; 0.027745;0.511468;        0.200000
1964-02; 0.020817; 0.020617;0.748920;        0.200000
1964-03; 0.021531; 0.021331;0.760086;        0.200000
1964-04;-0.005732;-0.005932;0.497798;        0.200000
1964-05; 0.010265; 0.010065;0.604025;        0.200000
1964-06; 0.014186; 0.013986;0.672752;        0.200000
1964-07; 0.026935; 0.026735;0.636555;        0.200000
