month,y_true,y_pred,decile
1948-07,-0.0573,-0.006645448024013,ME5
1948-07,-0.0509,-0.0024592044486643,ME6
1948-07,-0.0545,-0.00424827185165,ME7
1948-07,-0.0446,-0.0115289956250276,ME8
1948-07,-0.0573,-0.0026564155443644,ME9
1948-08,-0.0111,-0.0268283916764846,ME1
1948-08,0.0049,-0.0001985626449651,ME10
1948-08,-0.0192999999999999,-0.0194492542649878,ME2
1948-08,-0.0039,-0.0259629200131651,ME3
1948-08,-0.006,-0.0092102097770483,ME4
1948-08,-0.0034999999999999,-0.0017429083597483,ME5
1948-08,0.0098999999999999,-0.0013942714614802,ME6
1948-08,-0.0007,0.0011101514220136,ME7
1948-08,0.0063,-0.0039525931977149,ME8
1948-08,-0.0008,0.0022336624420957,ME9
1948-09,-0.0526,0.0122647938640562,ME1
1948-09,-0.0242,0.0021310872866097,ME10
1948-09,-0.052,-0.007054521449664,ME2
1948-09,-0.0394,-0.0079815838707524,ME3
1948-09,-0.034,-0.0159283935908166,ME4
1948-09,-0.0489,-0.0097673746908252,ME5
1948-09,-0.0412,-0.0083238065298062,ME6
1948-09,-0.0445,-0.0074289372695634,ME7
1948-09,-0.0437,-0.0015191224490418,ME8
1948-09,-0.0306,-0.0029658397838408,ME9
1948-10,0.0519,0.0246656504760752,ME1
1948-10,0.0642,0.0130461322183549,ME10
1948-10,0.0475999999999999,0.0120405328098078,ME2
1948-10,0.0588,0.0024618151496195,ME3
1948-10,0.0412,0.0023769094819383,ME4
1948-10,0.0478,0.0077420180760676,ME5
1948-10,0.0496999999999999,0.00739915353174,ME6
1948-10,0.0582,0.0046430497269809,ME7
1948-10,0.057,0.0071399159925035,ME8
1948-10,0.0516,0.0137273280988062,ME9
1948-11,-0.1036,-0.0058347355229373,ME1
1948-11,-0.0875,0.0053380273162211,ME10
1948-11,-0.1259,-0.0120409605905514,ME2
1948-11,-0.1175,-0.0157767334916485,ME3
1948-11,-0.0965,-0.011023029217023,ME4
1948-11,-0.1035,-0.0015125544778695,ME5
