month  ;    ME1;    ME2;    ME3;    ME4;    ME5;    ME6;    ME7;    ME8;    ME9;   ME10
1951-09; 0.0116; 0.0311; 0.0387;  0.029; 0.0227; 0.0218; 0.0216; 0.0253;  0.021;      0
1951-10;-0.0139;-0.0299;-0.0242;-0.0324;-0.0174;-0.0268;-0.0285;-0.0235;-0.0227;-0.0236
1951-11;-0.0114;-0.0022; 0.0067; 0.0032; 0.0085; 0.0118; 0.0229; 0.0129; 0.0108; 0.0041
1951-12; -0.002;  0.007; 0.0021; 0.0169; 0.0078; 0.0066; 0.0242; 0.0208; 0.0275; 0.0424
1952-01; 0.0185; 0.0134; 0.0192; 0.0176; 0.0145; 0.0157; 0.0149; 0.0183; 0.0202; 0.0152
1952-02;-0.0313;-0.0281;-0.0194;-0.0207;-0.0158;-0.0209;-0.0155;-0.0173;-0.0247;-0.0278
1952-03; 0.0079; 0.0273; 0.0262; 0.0258; 0.0246; 0.0302; 0.0295; 0.0413; 0.0398; 0.0517
1952-04;-0.0443;-0.0445;-0.0524;-0.0422;-0.0431;-0.0407;-0.0435;-0.0516;-0.0434;-0.0505
1952-05; 0.0093;  0.019; 0.0206; 0.0255; 0.0263; 0.0251; 0.0295; 0.0269; 0.0339; 0.0354
1952-06; 0.0251; 0.0339;  0.029; 0.0268; 0.0282;  0.031; 0.0377; 0.0328; 0.0293; 0.0449
1952-07;-0.0004; 0.0159; 0.0097;   0.01; 0.0086; 0.0133; 0.0064; 0.0151; 0.0111; 0.0102
1952-08;-0.0036;  0.004; 0.0075; 0.0036; 0.0065; -0.003; 0.0035;-0.0007;-0.0025;-0.0096
1952-09;-0.0065;-0.0166;-0.0149;-0.0171;-0.0038;-0.0221;-0.0156;-0.0152;-0.0165;-0.0204
1952-10;-0.0045; -0.014; -0.013;-0.0195;-0.0146;-0.0057;-0.0105;-0.0081;-0.0149;-0.0015
1952-11;  0.037; 0.0489; 0.0572; 0.0536; 0.0666; 0.0565; 0.0508; 0.0593; 0.0713; 0.0597
1952-12; 0.0058;  0.014; 0.0318; 0.0284;   0.01; 0.0267; 0.0334; 0.0205; 0.0252; 0.0345
1953-01; 0.0576; 0.0332; 0.0381;  0.034;  0.037; 0.0144;  0.016; 0.0135;-0.0008;-0.0092
1953-02; 0.0273; 0.0332; 0.0126; 0.0145; 0.0213; 0.0049; 0.0086;  0.007;-0.0009;-0.0052
1953-03;-0.0146;-0.0194;-0.0145;-0.0195;-0.0184;-0.0034;-0.0073;-0.0128;-0.0046;-0.0149
1953-04;-0.0231;-0.0177;-0.0218;-0.0169;-0.0257;-0.0192;-0.0268;-0.0231; -0.024;-0.0287
1953-05; 0.0152; 0.0058; 0.0061; 0.0045; 0.0081; 0.0033; 0.0079; 0.0056; 0.0093; 0.0067
1953-06;-0.0433; -0.045; -0.036;-0.0347;-0.0321; -0.031;-0.0254;-0.0298;-0.0242; -0.011
1953-07;  0.001; 0.0254; 0.0096; 0.0162; 0.0138; 0.0207; 0.0152; 0.0153; 0.0228; 0.0292
1953-08;-0.0512;-0.0646;-0.0604; -0.052;-0.0512;-0.0544;-0.0428;-0.0495;-0.0362;-0.0436
1953-09;-0.0408;-0.0172;-0.0207;-0.0037;-0.0102; -0.012;-0.0056;-0.0014; 0.0066; 0.0064
1953-10; 0.0264; 0.0211; 0.0329;  0.034; 0.0433; 0.0446; 0.0411; 0.0453; 0.0408; 0.0504
1953-11; 0.0197; 0.0191; 0.0211; 0.0151; 0.0148; 0.0212; 0.0292; 0.0308; 0.0308;   0.03
1953-12;-0.0292;-0.0268; -0.024;-0.0138;-0.0084;-0.0123;-0.0128; 0.0026; 0.0031;  0.004
1954-01; 0.0896;  0.074; 0.0733; 0.0646;  0.067; 0.0716; 0.0603; 0.0589; 0.0557; 0.0484
1954-02;-0.0024; 0.0045;  0.017; 0.0141; 0.0194; 0.0198; 0.0169; 0.0232; 0.0157; 0.0171
1954-03; 0.0256;  0.031; 0.0271; 0.0286; 0.0254; 0.0295; 0.0321; 0.0426; 0.0316; 0.0397
1954-04; 0.0118; 0.0074; 0.0047; 0.0139; 0.0166; 0.0224; 0.0128; 0.0245; 0.0267; 0.0555
1954-05; 0.0332; 0.0538; 0.0323; 0.0494;  0.049; 0.0323; 0.0435; 0.0414; 0.0387; 0.0272
1954-06; 0.0143;   0.01; 0.0102; 0.0197; 0.0143; 0.0204; 0.0111; 0.0246; 0.0135; 0.0089
1954-07; 0.1185; 0.0883; 0.0795; 0.0644;  0.073; 0.0622; 0.0709; 0.0607; 0.0667;  0.042
1954-08;-0.0033;-0.0011; 0.0039; 0.0036;-0.0121;-0.0132;-0.0188;-0.0164;-0.0266;-0.0253
1954-09; 0.0425; 0.0356; 0.0417; 0.0463; 0.0433; 0.0414; 0.0439; 0.0508; 0.0451; 0.0753
1954-10; 0.0041;-0.0038;-0.0081;-0.0124;-0.0035;-0.0037;-0.0029;-0.0049;-0.0098;-0.0208
1954-11; 0.0596; 0.0937; 0.0867; 0.0879; 0.0994; 0.1036; 0.0867;  0.102; 0.0941; 0.0946
1954-12; 0.1286; 0.1149; 0.0983;  0.099;  0.093; 0.0871; 0.0597; 0.0581; 0.0693; 0.0476
1955-01; 0.0389;  0.033;  0.008; 0.0085; 0.0158;  0.028; 0.0104;  0.002; 0.0083; 0.0048
1955-02; 0.0416; 0.0655; 0.0494; 0.0335; 0.0511; 0.0484; 0.0437; 0.0319; 0.0346; 0.0267
1955-03;  0.002;-0.0055;-0.0003; 0.0066;-0.0015;  0.011;-0.0077;-0.0102; 0.0157;-0.0033
1955-04; 0.0295; 0.0138;  0.033; 0.0098; 0.0147; 0.0216; 0.0226;  0.023; 0.0208; 0.0388
1955-05; 0.0171; 0.0042; 0.0009; 0.0013;  0.006; 0.0044; 0.0094; 0.0149; 0.0096; 0.0121
1955-06; 0.0475; 0.0342;  0.037; 0.0251; 0.0318;  0.022; 0.0374; 0.0473; 0.0435; 0.0821
1955-07; 0.0272; 0.0089; 0.0182; 0.0013; 0.0007; 0.0026; 0.0097; -0.001; 0.0044; 0.0279
1955-08;-0.0002; -0.003; 0.0061;-0.0012; 0.0095; 0.0116; 0.0095; 0.0076; 0.0072; 0.0022
1955-09; 0.0029; 0.0095;-0.0118;-0.0102;-0.0037;-0.0122;-0.0126;-0.0164;-0.0257; 0.0058
1955-10; -0.022;-0.0142;-0.0105;-0.0131;-0.0086;-0.0155;-0.0169;  -0.02;-0.0199;-0.0279
1955-11; 0.0389; 0.0348; 0.0489; 0.0578; 0.0568; 0.0622; 0.0609; 0.0687; 0.0632; 0.0767
1955-12; 0.0182; 0.0278; 0.0181; 0.0192; 0.0301; 0.0249; 0.0185; 0.0198; 0.0197; 0.0147
1956-01; -0.012;-0.0062;-0.0118;-0.0225;-0.0224;-0.0327;  -0.03;-0.0314;-0.0254;-0.0287
1956-02; 0.0334; 0.0281; 0.0328; 0.0349; 0.0256; 0.0359; 0.0395;  0.038; 0.0361;  0.042
1956-03;  0.023; 0.0635; 0.0431; 0.0454; 0.0384; 0.0627; 0.0526; 0.0579; 0.0627; 0.0733
1956-04; 0.0077; 0.0023; 0.0088; 0.0029; 0.0081; 0.0029; 0.0091; 0.0063;-0.0056; 0.0066
1956-05;-0.0463;-0.0343;-0.0508; -0.037;-0.0392;-0.0315;-0.0458;-0.0317;-0.0368;-0.0558
1956-06; 0.0075; 0.0052; 0.0202;  0.015;  0.022; 0.0396; 0.0263;  0.026; 0.0359; 0.0399
